"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DGCR21",1.87649862691599e-08,0.534046677571469,0.24,0.147,0.000398530778384417,6,"DGCR2"
"RIF1",0.00013810656081023,0.533543570244456,0.24,0.179,1,6,"RIF1"
"ZNF292",0.0012205022085907,0.533499874323822,0.277,0.225,1,6,"ZNF292"
"UBR4",0.000680146543422548,0.5330845140612,0.268,0.218,1,6,"UBR4"
"PACSIN31",0.0067803340129608,0.530726498714171,0.175,0.137,1,6,"PACSIN3"
"HEATR61",0.00015228311342902,0.53008762578163,0.161,0.109,1,6,"HEATR6"
"MBTPS11",5.59262701075123e-05,0.52934416764203,0.246,0.182,1,6,"MBTPS1"
"NPDC11",9.79485888323271e-06,0.529007355412577,0.316,0.231,0.208023212962096,6,"NPDC1"
"STK31",0.000112769936474469,0.528069485221197,0.155,0.102,1,6,"STK3"
"NCKAP11",5.74845503862286e-05,0.527441920430892,0.192,0.134,1,6,"NCKAP1"
"SEC622",0.00492197253492415,0.526080504064245,0.452,0.455,1,6,"SEC62"
"LRP51",2.2341242166416e-07,0.525339260682296,0.167,0.095,0.00474483301130343,6,"LRP5"
"C6orf1321",2.47366369662296e-06,0.524981100646352,0.161,0.097,0.0525356695888783,6,"C6orf132"
"FMR11",0.000274340409297502,0.522025594404776,0.181,0.129,1,6,"FMR1"
"SLC35A31",2.00897648580682e-06,0.521752569503613,0.195,0.123,0.0426666426055652,6,"SLC35A3"
"STAT61",0.00460919678172565,0.521580690460978,0.226,0.185,1,6,"STAT6"
"TSPAN151",0.00119827228179654,0.519802020486528,0.251,0.195,1,6,"TSPAN15"
"ABCC31",6.92503777920728e-07,0.519241186558655,0.184,0.112,0.0147073952354804,6,"ABCC3"
"CCPG11",0.000367348432984241,0.519214649713326,0.294,0.236,1,6,"CCPG1"
"CALR1",1.86416771986684e-05,0.516904932132983,0.65,0.669,0.39591194034532,6,"CALR"
"TMEM591",0.00127104628637309,0.516474950607199,0.517,0.528,1,6,"TMEM59"
"CKAP41",0.000277340884920614,0.516271972007983,0.229,0.175,1,6,"CKAP4"
"RAB3GAP21",9.02587205924227e-06,0.515876224631338,0.234,0.165,0.191691470794187,6,"RAB3GAP2"
"GOLT1A1",0.00355706843695006,0.514998723320296,0.167,0.126,1,6,"GOLT1A"
"SULF22",0.000981043881686211,0.512900163320178,0.178,0.131,1,6,"SULF2"
"MLLT41",2.65386327779258e-06,0.512642137062989,0.184,0.115,0.0563627482937587,6,"MLLT4"
"STT3A",0.0095805143148508,0.512559766190381,0.232,0.197,1,6,"STT3A"
"WDR261",0.000472294826840382,0.512259669070564,0.203,0.152,1,6,"WDR26"
"ARHGEF121",0.0004728629626631,0.511641527311209,0.147,0.1,1,6,"ARHGEF12"
"DNAH14",3.49853739042971e-13,0.511497795631861,0.141,0.055,7.43019370979461e-09,6,"DNAH14"
"ATG9B",5.1946754919614e-13,0.511463425018221,0.121,0.043,1.10324518098276e-08,6,"ATG9B"
"TM4SF41",0.000620363563473423,0.511254490356129,0.206,0.151,1,6,"TM4SF4"
"ZNF518A",1.76094064698538e-06,0.510919030917085,0.167,0.099,0.0373988574606755,6,"ZNF518A"
"COG4",0.00037910904704538,0.510551803930219,0.189,0.137,1,6,"COG4"
"SLC35F5",0.000815521846168022,0.51018583458292,0.164,0.117,1,6,"SLC35F5"
"ANGEL2",0.000138386206377101,0.509789427664674,0.178,0.121,1,6,"ANGEL2"
"TPM21",2.04810983761814e-08,0.509761782564578,0.299,0.19,0.00043497756731334,6,"TPM2"
"EIF2AK41",0.00891473704120188,0.507435084099096,0.237,0.204,1,6,"EIF2AK4"
"CRCT11",5.1912310035849e-05,0.507226550051455,0.15,0.092,1,6,"CRCT1"
