,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
MEIS24,9.24434854724547E-19,0.567649205160183,0.366,0.124,1.98559362446285E-14,15,MEIS2
STAP24,9.89469967698622E-24,0.567134028035754,0.345,0.096,2.12528254361987E-19,15,STAP2
SUMF21,5.05935583996299E-09,0.56609102629407,0.423,0.232,0.000108669904086565,15,SUMF2
ARHGAP29,4.3045344553089E-49,0.564436426400138,0.275,0.036,9.24570955655798E-45,15,ARHGAP29
TMBIM63,1.08027878083497E-11,0.56420538073993,0.852,0.636,2.32033079335544E-07,15,TMBIM6
LAD15,4.06019232843566E-14,0.562440645507313,0.451,0.193,8.72088710224695E-10,15,LAD1
SERINC25,1.12420110335108E-13,0.561500065018909,0.521,0.254,2.41467154988778E-09,15,SERINC2
SLC40A14,8.13501442441338E-13,0.561403971012862,0.5,0.231,1.74731974821975E-08,15,SLC40A1
COMT4,6.70693811466673E-10,0.559965046458604,0.599,0.342,1.44058323764927E-05,15,COMT
EHF4,8.05315411570499E-23,0.558662439890314,0.352,0.103,1.72973697251227E-18,15,EHF
ADGRG62,7.20182965199463E-06,0.558654400383714,0.162,0.068,0.154688099095193,15,ADGRG6
MYL9,1.74332917492793E-15,0.555574979271399,0.183,0.044,3.74449673482769E-11,15,MYL9
PLXNB23,5.69929308134629E-19,0.555226024235236,0.479,0.188,1.22415116094237E-14,15,PLXNB2
MTRNR2L1,1.61332444427303E-68,0.55494959902636,0.282,0.027,3.46525957385404E-64,15,MTRNR2L1
GNG121,5.75907183912198E-23,0.55357632071123,0.352,0.103,1.23699104032501E-18,15,GNG12
ACAA2,6.44004828468624E-14,0.553194932598547,0.345,0.132,1.38325797106776E-09,15,ACAA2
CXXC54,1.05575140712851E-15,0.55276918637004,0.451,0.193,2.26764844737132E-11,15,CXXC5
TMEM2194,3.83403839713198E-08,0.552625420103483,0.711,0.486,0.000823513107319979,15,TMEM219
TMEM106C1,5.93906468618731E-19,0.552480601560032,0.38,0.131,1.27565170394617E-14,15,TMEM106C
MLEC1,2.32704564875407E-16,0.550805608836923,0.556,0.262,4.99826134895887E-12,15,MLEC
ARSE1,1.0273924301574E-52,0.55066416913489,0.345,0.052,2.20673620073509E-48,15,ARSE
